id,title,tags,cluster
161,Ocean's Eleven,"Thriller, Crime, Jim Lampley, Richard Steele, Mark Gantt, Steven Soderbergh",2
162,Edward Scissorhands,"Fantasy, Drama, Romance, Kathy Baker, Jalaine Gallion, Marti Greenberg, Tim Burton",0
163,Ocean's Twelve,"Thriller, Crime, Adriano Giannini, Chris Tates, David Sontag, Steven Soderbergh",2
164,Breakfast at Tiffany's,"Comedy, Romance, Drama, Orangey the Cat, Frank Kreig, Christine Corbin, Blake Edwards",6
165,Back to the Future Part II,"Adventure, Comedy, Science Fiction, Elijah Wood, Stephanie Williams, Christopher Lloyd, Robert Zemeckis",4
167,K-PAX,"Science Fiction, Drama, Mystery, Peter Maloney, Frank Collison, Conchata Ferrell, Iain Softley",3
168,Star Trek IV: The Voyage Home,"Science Fiction, Adventure, Scott Devenney, William Shatner, Michael Snyder, Leonard Nimoy",4
169,Predator 2,"Science Fiction, Action, Thriller, Alex Chapman, Julian Reyes, Beth Kanar, Stephen Hopkins",4
170,28 Days Later,"Horror, Thriller, Science Fiction, Marvin Campbell, Adrian Christopher, Steen Young, Danny Boyle",4
172,Star Trek V: The Final Frontier,"Science Fiction, Action, Adventure, Thriller, William Shatner, Rex Holman, Carey Scott, William Shatner",4
173,"20,000 Leagues Under the Sea","Adventure, Science Fiction, Family, Laurie Mitchell, Jack Gargan, Gloria Pall, Richard Fleischer",7
174,Star Trek VI: The Undiscovered Country,"Science Fiction, Action, Adventure, Thriller, William Shatner, Michael Snyder, Brett Porter, Nicholas Meyer",4
176,Saw,"Horror, Mystery, Crime, Hans Raith, Shawnee Smith, Dina Meyer, James Wan",3
177,The Fisher King,"Comedy, Drama, James Remini, Al Fann, Michael Jeter, Terry Gilliam",6
178,Blown Away,"Action, John Finn, Christofer de Oni, Forest Whitaker, Stephen Hopkins",1
179,The Interpreter,"Crime, Thriller, David Fonteno, Tsai Chin, Dino Mulima, Sydney Pollack",2
180,Minority Report,"Science Fiction, Action, Thriller, Michael Dickman, Max Trumpower, David Hornsby, Steven Spielberg",4
182,The Good German,"Drama, Mystery, Romance, Thriller, War, Sten Jacobs, Zvonimir Hace, Igor Korošec, Steven Soderbergh",0
183,The Wizard,"Adventure, Comedy, Drama, Family, Tom Kerley, Neo Edmund, Beau Bridges, Todd Holland",7
184,Jackie Brown,"Crime, Drama, Thriller, Elizabeth McInerney, Julia Ervin, Tangie Ambrose, Quentin Tarantino",2
185,A Clockwork Orange,"Science Fiction, Crime, David Prowse, Katharina Kubrick, Lee Fox, Stanley Kubrick",4
186,Lucky Number Slevin,"Drama, Thriller, Crime, Mystery, Shira Leigh, Danny Aiello, Robert Forster, Paul McGuigan",2
187,Sin City,"Thriller, Action, Crime, Clive Owen, Jason McDonald, Patricia Vonne, Frank Miller, Robert Rodriguez",2
189,Sin City: A Dame to Kill For,"Crime, Action, Thriller, Billy Blair, Josh Brolin, Eva Green, Robert Rodriguez, Frank Miller",2
192,The Name of the Rose,"Drama, Thriller, Mystery, Giordano Falzoni, Peter Berling, Valerio Isidori, Jean-Jacques Annaud",3
193,Star Trek: Generations,"Science Fiction, Action, Adventure, Thriller, William Shatner, Thomas Kopache, Granville Ames, David Carson",4
194,Amélie,"Comedy, Romance, Charles-Roger Bour, Jacques Viala, Ticky Holgado, Jean-Pierre Jeunet",6
196,Back to the Future Part III,"Adventure, Comedy, Science Fiction, Michael Klastorin, Jo B. Cummings, John Ickes, Robert Zemeckis",4
197,Braveheart,"Action, Drama, History, War, Rupert Vansittart, Bill Murdoch, Alun Armstrong, Mel Gibson",3
198,To Be or Not to Be,"Comedy, War, Romance, Halliwell Hobbes, James Gillette, Tiny Jones, Ernst Lubitsch",6
199,Star Trek: First Contact,"Science Fiction, Action, Adventure, Thriller, Patti Yasutake, Michael Braveheart, Gates McFadden, Jonathan Frakes",4
200,Star Trek: Insurrection,"Science Fiction, Action, Adventure, Thriller, Anthony Zerbe, Sam Arnold, Michael Braveheart, Jonathan Frakes",4
201,Star Trek: Nemesis,"Science Fiction, Action, Adventure, Thriller, Jude Ciccolella, Shannon Cochran, Gates McFadden, Stuart Baird",4
203,Mean Streets,"Drama, Crime, Harry Northup, Victor Argo, D'Mitch Davis, Martin Scorsese",3
205,Hotel Rwanda,"Drama, History, War, Leleti Khumalo, Mabutho 'Kid' Sithole, Hakeem Kae-Kazim, Terry George",3
207,Dead Poets Society,"Drama, Alan Pottinger, Ethan Hawke, Dylan Kussman, Peter Weir",3
